Depth ID Strategy Param SolutionLength Visited Processed Depth Time
3 10 astr manh 3 7 4 3 0.0 
3 10 bfs drlu 3 17 8 0 0.001 
3 10 bfs drul 3 17 8 0 0.001 
3 10 bfs ludr 3 40 17 0 0.001 
3 10 bfs lurd 3 40 17 0 0.003 
3 10 bfs rdlu 3 17 8 0 0.001 
3 10 bfs rdul 3 17 8 0 0.001 
3 10 bfs uldr 3 40 17 0 0.001 
3 10 bfs ulrd 3 40 17 0 0.004 
3 10 dfs drlu 3 7 4 3 0.0 
3 10 dfs drul 3 7 4 3 0.0 
3 10 dfs ludr 3 196602 196602 20 7.201 
3 10 dfs lurd 19 139293 139282 20 5.6 
3 10 dfs rdlu 3 7 4 3 0.001 
3 10 dfs rdul 3 7 4 3 0.0 
3 10 dfs uldr -1 164272 164272 20 6.981 
3 10 dfs ulrd 3 277728 277728 20 9.479 
4 1 astr hamm 4 9 5 4 0.001 
4 1 astr manh 4 9 5 4 0.001 
4 1 bfs drlu 4 88 42 0 0.003 
4 1 bfs drul 4 88 42 0 0.003 
4 1 bfs ludr 4 121 56 0 0.004 
4 1 bfs lurd 4 89 39 0 0.003 
4 1 bfs rdlu 4 56 25 0 0.003 
4 1 bfs rdul 4 56 25 0 0.002 
4 1 bfs uldr 4 121 56 0 0.004 
4 1 bfs ulrd 4 89 39 0 0.003 
4 1 dfs drlu 12 82926 82921 20 2.872 
4 1 dfs drul 4 165845 165843 20 7.881 
4 1 dfs ludr 4 296814 296814 20 10.372 
4 1 dfs lurd 4 175543 175542 20 5.823 
4 1 dfs rdlu 4 9 5 4 0.0 
4 1 dfs rdul 4 9 5 4 0.0 
4 1 dfs uldr -1 254768 254768 20 9.308 
4 1 dfs ulrd 4 169575 169574 20 5.774 
4 2 astr hamm 4 11 5 4 0.001 
4 2 astr manh 4 11 5 4 0.001 
4 2 bfs drlu 4 69 32 0 0.002 
4 2 bfs drul 4 69 32 0 0.002 
4 2 bfs ludr 4 109 51 0 0.003 
4 2 bfs lurd 4 108 49 0 0.004 
4 2 bfs rdlu 4 68 30 0 0.002 
4 2 bfs rdul 4 68 30 0 0.002 
4 2 bfs uldr 4 109 51 0 0.003 
4 2 bfs ulrd 4 108 49 0 0.003 
4 2 dfs drlu -1 207250 207250 20 6.66 
4 2 dfs drul 16 50072 50057 20 2.463 
4 2 dfs ludr -1 318137 318137 20 10.139 
4 2 dfs lurd -1 308791 308791 20 11.091 
4 2 dfs rdlu -1 212046 212046 20 6.693 
4 2 dfs rdul 16 3910 3895 20 0.121 
4 2 dfs uldr -1 254768 254768 20 9.769 
4 2 dfs ulrd -1 259908 259908 20 8.901 
4 3 astr hamm 4 12 5 4 0.001 
